Codice;Territorio;Variable;2004
'010;Piemonte;NAT;8,700306161
'020;Valle D'Aosta;NAT;9,611772584
'030;Lombardia;NAT;9,967656458
'070;Liguria;NAT;7,580329631
'040;Trentino Alto Adige;NAT;11,25613489
'021;Bolzano - Bozen;NAT;11,48938234
'022;Trento;NAT;11,03224991
'050;Veneto;NAT;10,08193539
'060;Friuli Venezia Giulia;NAT;8,407323635
'080;Emilia Romagna;NAT;9,250656718
'090;Toscana;NAT;8,847988789
'100;Umbria;NAT;8,924637953
'110;Marche;NAT;8,86093993
'120;Lazio;NAT;9,934405468
'130;Abruzzo;NAT;8,58822328
'140;Molise;NAT;7,920453663
'150;Campania;NAT;11,27371878
'160;Puglia;NAT;10,00572563
'170;Basilicata;NAT;8,876071806
'180;Calabria;NAT;9,308049583
'190;Sicilia;NAT;10,32871977
'200;Sardegna;NAT;7,970489028
