Codice;Territorio
'010;Piemonte
'020;Valle D'Aosta
'030;Lombardia
'040;Trentino-Alto Adige
'050;Veneto
'060;Friuli Venezia Giulia
'070;Liguria
'080;Emilia-Romagna
'090;Toscana
'100;Umbria
'110;Marche
'120;Lazio
'130;Abruzzo
'140;Molise
'150;Campania
'160;Puglia
'170;Basilicata
'180;Calabria
'190;Sicilia
'200;Sardegna
