"","Codice","Territorio","Variable","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2009","X2008","X2010"
"39","'090","Toscana","IMP",12845120.63,16520504.82,17094516,15863980.85,15140987.76,15585404.18,16870777.45,18557629.87,19847157.22,NA,NA,NA
"40","'100","Umbria","IMP",1366144.72,1722625.761,1672263.969,1812480.185,1909110.81,2134154.94,2336200.819,2797186.39,2882388.316,NA,NA,NA
"41","'110","Marche","IMP",2611442.782,3502462.615,3831712.55,3846117.671,3906510.862,4006046.611,4867528.479,6499072.201,7364740.415,NA,NA,NA
"42","'120","Lazio","IMP",17290353.22,21488572.83,22146692.62,22537906.64,22030352.46,21880817.3,24769626.41,26551946.14,27832276.69,NA,NA,NA
"43","'130","Abruzzo","IMP",3285892.921,3967166.772,3886765.184,3926127.505,3769413.176,3702802.763,3673087.702,4037575.124,4252521.257,NA,NA,NA
"44","'140","Molise","IMP",313108.033,338075.683,464485.099,472564.675,301094.241,309526.438,357277.896,402490.796,432036.56,NA,NA,NA
"45","'150","Campania","IMP",6322603.08,7550362.759,7947718.422,7753625.661,7905806.079,8165497.164,8300424.869,9628733.086,10056947.7,NA,NA,NA
"46","'160","Puglia","IMP",3949814.326,4843128.203,5155768.076,4968706.812,4891434.647,6220890.089,6966487.812,7598484.469,8522325.38,NA,NA,NA
"47","'170","Basilicata","IMP",318810.156,430916.729,484867.547,403046.813,457656.095,569796.319,694039.594,1038388.795,1066610.608,NA,NA,NA
"48","'180","Calabria","IMP",383288.32,449759.818,510667.322,489192.497,550294.784,546116.203,612327.616,604697.679,745854.334,NA,NA,NA
"49","'190","Sicilia","IMP",8009296.56,13836274.61,13212961.2,11866201.48,12327115.38,13906853.71,18935721.06,15829622.34,16990470.96,NA,NA,NA
"50","'200","Sardegna","IMP",2627887.76,4492210.104,3807660.991,3925229.829,4097705.158,4616250.629,6280045.918,7232858.635,7719321.05,NA,NA,NA
"51","'001","Nord-Ovest","IMP",102323532.2,124623136.2,127034101.7,124473026.3,127562680.2,136489376.4,143448357.7,155483264.7,163698671.9,NA,NA,NA
"52","'002","Nord-Est","IMP",45214676.36,54526542,56285625.26,58621404.14,57897854.22,61455866.99,65351706.28,73294997.54,81308220.31,NA,NA,NA
"53","'003","Centro","IMP",34113061.35,43234166.03,44745185.14,44060485.34,42986961.89,43606423.03,48844133.16,54405834.6,57926562.65,NA,NA,NA
"54","'004","Sud","IMP",14573516.84,17579409.96,18450271.65,18013263.96,17875699.02,19514628.98,20603645.49,23310369.95,25076295.84,NA,NA,NA
